date,weekday_name,day_of_week,month,quarter,year,week_number_of_month,week_number_of_quarter,week_number_of_year,is_weekend,day_number_of_month,day_number_of_quarter,day_number_of_year,month_number_of_quarter,month_number_of_year,absolute_week_number,start_of_week_epoch,end_of_week_epoch
2023-04-01,Saturday,6,April,1,2023,1,2,1,Yes,1,1,91,1,4,13,2023-03-27,2023-04-02
2023-04-02,Sunday,0,April,1,2023,1,2,1,Yes,2,2,92,1,4,13,2023-03-27,2023-04-02
2023-04-03,Monday,1,April,1,2023,1,3,2,No,3,3,93,1,4,14,2023-04-03,2023-04-09
2023-04-04,Tuesday,2,April,1,2023,1,4,2,No,4,4,94,1,4,14,2023-04-03,2023-04-09
2023-04-05,Wednesday,3,April,1,2023,1,5,2,No,5,5,95,1,4,14,2023-04-03,2023-04-09
2023-04-06,Thursday,4,April,1,2023,1,6,2,No,6,6,96,1,4,14,2023-04-03,2023-04-09
2023-04-07,Friday,5,April,1,2023,1,7,2,No,7,7,97,1,4,14,2023-04-03,2023-04-09
2023-04-08,Saturday,6,April,1,2023,2,8,2,Yes,8,8,98,1,4,14,2023-04-03,2023-04-09
2023-04-09,Sunday,0,April,1,2023,2,9,2,Yes,9,9,99,1,4,14,2023-04-03,2023-04-09
2023-04-10,Monday,1,April,1,2023,2,10,3,No,10,10,100,1,4,15,2023-04-10,2023-04-16
2023-04-11,Tuesday,2,April,1,2023,2,11,3,No,11,11,101,1,4,15,2023-04-10,2023-04-16
2023-04-12,Wednesday,3,April,1,2023,2,12,3,No,12,12,102,1,4,15,2023-04-10,2023-04-16
2023-04-13,Thursday,4,April,1,2023,2,13,3,No,13,13,103,1,4,15,2023-04-10,2023-04-16
2023-04-14,Friday,5,April,1,2023,2,14,3,No,14,14,104,1,4,15,2023-04-10,2023-04-16
2023-04-15,Saturday,6,April,1,2023,3,15,3,Yes,15,15,105,1,4,15,2023-04-10,2023-04-16
